2020-01-01-00-00-18;2020-01-01-00-59-36
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
1;0
11;0
50;0
97;0
1007;0
4904;0
10049;0
11310;0
11187;0
10914;0
10594;0
10149;0
9939;0
9207;0
9035;0
8807;0
8440;0
8616;0
7955;0
7629;0
7609;0
7156;0
7040;0
6695;0
6562;0
6372;0
6064;0
5929;0
5685;0
5468;0
5280;0
4982;0
4932;0
4331;0
4696;0
4507;0
4252;0
4055;0
4090;0
3870;0
3629;0
3523;0
3460;0
3285;0
3277;0
2995;0
3000;0
2882;0
2769;0
2817;0
2592;0
2463;0
2360;0
2200;0
2202;0
2027;0
1892;0
1921;0
1806;0
1851;0
1846;0
1673;0
1605;0
1591;0
1476;0
1475;0
1393;0
1374;0
1332;0
1156;0
1218;0
1144;0
1014;0
1027;0
969;0
946;0
896;0
854;0
875;0
869;0
782;0
807;0
743;0
708;0
706;0
620;0
650;0
611;0
605;0
565;0
518;0
543;0
518;0
494;0
480;0
414;0
414;0
381;0
441;0
378;0
371;0
371;0
350;0
340;0
311;0
302;0
293;0
313;0
288;0
273;0
258;0
273;0
249;0
238;0
229;0
243;0
233;0
209;0
226;0
186;0
163;0
177;0
180;0
161;0
167;0
156;0
151;0
169;0
142;0
146;0
150;0
136;0
133;0
122;0
120;0
126;0
105;0
118;0
134;0
101;0
119;0
98;0
93;0
94;0
92;0
92;0
100;0
94;0
87;0
84;0
87;0
100;0
97;0
99;0
74;0
65;0
76;0
75;0
65;0
66;0
56;0
57;0
71;0
67;0
63;0
68;0
68;0
64;0
68;0
71;0
67;0
45;0
51;0
49;0
55;0
68;0
49;0
58;0
51;0
62;0
52;0
56;0
52;0
49;0
44;0
48;0
44;0
52;0
47;0
47;0
31;0
55;0
71;0
135;0
209;0
366;0
601;0
803;0
871;0
940;0
1016;0
1056;0
1027;0
1061;0
1124;0
1100;0
1070;0
943;0
577;0
322;0
103;0
83;0
61;0
63;0
50;0
49;0
53;0
65;0
46;0
46;0
41;0
27;0
38;0
19;0
20;0
16;0
37;0
17;0
26;0
25;0
31;0
34;0
25;0
22;0
22;0
21;0
34;0
22;0
20;0
34;0
27;0
21;0
30;0
27;0
32;0
27;0
36;0
31;0
24;0
24;0
16;0
23;0
25;0
35;0
29;0
36;0
33;0
25;0
15;0
20;0
23;0
20;0
21;0
28;0
16;0
22;0
18;0
18;0
29;0
21;0
27;0
11;0
21;0
20;0
20;0
15;0
17;0
22;0
19;0
26;0
19;0
16;0
22;0
