2020-01-01-00-00-23;2020-01-01-00-31-05
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
1;0
0;0
0;0
3;0
10;0
14;0
35;0
19;0
20;0
29;0
23;0
21;0
23;0
34;0
28;0
25;0
25;0
26;0
17;0
21;0
21;0
14;0
20;0
21;0
16;0
13;0
15;0
16;0
18;0
14;0
11;0
20;0
15;0
13;0
11;0
11;0
12;0
14;0
7;0
12;0
12;0
13;0
14;0
3;0
11;0
12;0
14;0
6;0
7;0
12;0
12;0
9;0
3;0
12;0
8;0
6;0
5;0
11;0
9;0
7;0
4;0
8;0
7;0
4;0
6;0
4;0
7;0
4;0
5;0
4;0
5;0
2;0
3;0
6;0
8;0
3;0
2;0
6;0
2;0
3;0
3;0
1;0
2;0
3;0
8;0
5;0
6;0
3;0
3;0
2;0
2;0
5;0
4;0
3;0
8;0
3;0
8;0
15;0
48;0
137;0
194;0
307;0
380;0
413;0
510;0
606;0
429;0
416;0
372;0
364;0
328;0
301;0
245;0
232;0
229;0
219;0
178;0
164;0
143;0
158;0
100;0
101;0
72;0
62;0
27;0
23;0
8;0
7;0
1;0
9;0
2;0
3;0
4;0
3;0
1;0
2;0
1;0
1;0
2;0
1;0
4;0
2;0
3;0
4;0
1;0
3;0
1;0
1;0
0;0
3;0
3;0
2;0
0;0
2;0
1;0
4;0
1;0
0;0
0;0
1;0
1;0
1;0
1;0
1;0
2;0
0;0
0;0
3;0
0;0
3;0
0;0
1;0
1;0
1;0
2;0
2;0
2;0
1;0
0;0
4;0
0;0
0;0
0;0
0;0
1;0
1;0
5;0
1;0
1;0
1;0
1;0
0;0
1;0
1;0
0;0
1;0
1;0
0;0
0;0
1;0
1;0
1;0
0;0
1;0
0;0
1;0
1;0
1;0
0;0
2;0
0;0
2;0
0;0
2;0
1;0
0;0
2;0
1;0
2;0
1;0
1;0
1;0
2;0
1;0
0;0
1;0
1;0
4;0
1;0
3;0
1;0
0;0
2;0
1;0
1;0
0;0
0;0
3;0
1;0
0;0
1;0
0;0
0;0
0;0
1;0
0;0
1;0
0;0
0;0
0;0
0;0
1;0
2;0
2;0
1;0
0;0
1;0
1;0
3;0
1;0
0;0
2;0
2;0
1;0
2;0
1;0
0;0
1;0
0;0
3;0
0;0
3;0
0;0
1;0
0;0
0;0
2;0
1;0
1;0
1;0
1;0
0;0
0;0
0;0
2;0
1;0
1;0
1;0
0;0
2;0
1;0
0;0
1;0
3;0
1;0
1;0
2;0
0;0
0;0
0;0
2;0
1;0
